2024/12/07 21:26:57.568, Quadro RTX 6000, 5578 MiB, 24576 MiB, 49
2024/12/07 21:27:07.618, Quadro RTX 6000, 5578 MiB, 24576 MiB, 49
2024/12/07 21:27:17.658, Quadro RTX 6000, 5581 MiB, 24576 MiB, 48
2024/12/07 21:27:27.748, Quadro RTX 6000, 5572 MiB, 24576 MiB, 48
2024/12/07 21:27:37.827, Quadro RTX 6000, 15288 MiB, 24576 MiB, 49
2024/12/07 21:27:47.868, Quadro RTX 6000, 19678 MiB, 24576 MiB, 62
2024/12/07 21:27:57.908, Quadro RTX 6000, 19663 MiB, 24576 MiB, 69
2024/12/07 21:28:07.927, Quadro RTX 6000, 19701 MiB, 24576 MiB, 74
2024/12/07 21:28:17.978, Quadro RTX 6000, 19698 MiB, 24576 MiB, 69
2024/12/07 21:28:28.028, Quadro RTX 6000, 5593 MiB, 24576 MiB, 66
2024/12/07 21:35:54.618, Quadro RTX 6000, 520 MiB, 24576 MiB, 39
2024/12/07 21:36:04.678, Quadro RTX 6000, 3053 MiB, 24576 MiB, 41
2024/12/07 21:36:14.719, Quadro RTX 6000, 3032 MiB, 24576 MiB, 42
2024/12/07 21:36:24.768, Quadro RTX 6000, 3029 MiB, 24576 MiB, 42
2024/12/07 21:36:34.808, Quadro RTX 6000, 3034 MiB, 24576 MiB, 41
2024/12/07 21:36:44.888, Quadro RTX 6000, 3021 MiB, 24576 MiB, 41
2024/12/07 21:36:54.958, Quadro RTX 6000, 3021 MiB, 24576 MiB, 41
2024/12/07 21:37:04.998, Quadro RTX 6000, 3021 MiB, 24576 MiB, 40
2024/12/07 21:37:15.039, Quadro RTX 6000, 3021 MiB, 24576 MiB, 40
2024/12/07 21:37:25.099, Quadro RTX 6000, 3021 MiB, 24576 MiB, 40
2024/12/07 21:37:35.159, Quadro RTX 6000, 3021 MiB, 24576 MiB, 40
2024/12/07 21:37:45.209, Quadro RTX 6000, 3021 MiB, 24576 MiB, 40
2024/12/07 21:37:55.258, Quadro RTX 6000, 3021 MiB, 24576 MiB, 40
2024/12/07 21:38:05.308, Quadro RTX 6000, 3017 MiB, 24576 MiB, 40
2024/12/07 21:38:15.358, Quadro RTX 6000, 3017 MiB, 24576 MiB, 40
2024/12/07 21:38:25.408, Quadro RTX 6000, 2984 MiB, 24576 MiB, 41
2024/12/07 21:38:35.449, Quadro RTX 6000, 19554 MiB, 24576 MiB, 54
2024/12/07 21:38:45.488, Quadro RTX 6000, 19619 MiB, 24576 MiB, 61
2024/12/07 21:38:55.528, Quadro RTX 6000, 19567 MiB, 24576 MiB, 68
2024/12/07 21:39:05.608, Quadro RTX 6000, 19534 MiB, 24576 MiB, 73
2024/12/07 21:39:15.627, Quadro RTX 6000, 5488 MiB, 24576 MiB, 68
2024/12/07 21:39:25.698, Quadro RTX 6000, 5470 MiB, 24576 MiB, 62
2024/12/07 21:39:35.788, Quadro RTX 6000, 5470 MiB, 24576 MiB, 58
2024/12/07 21:39:45.877, Quadro RTX 6000, 5470 MiB, 24576 MiB, 55
2024/12/07 21:39:55.919, Quadro RTX 6000, 5491 MiB, 24576 MiB, 54
2024/12/07 21:40:05.958, Quadro RTX 6000, 5470 MiB, 24576 MiB, 52
2024/12/07 21:40:16.047, Quadro RTX 6000, 5500 MiB, 24576 MiB, 51
2024/12/07 21:40:26.089, Quadro RTX 6000, 5486 MiB, 24576 MiB, 50
2024/12/07 21:40:36.187, Quadro RTX 6000, 5491 MiB, 24576 MiB, 49
2024/12/07 21:40:46.238, Quadro RTX 6000, 5506 MiB, 24576 MiB, 49
2024/12/07 21:40:56.289, Quadro RTX 6000, 5478 MiB, 24576 MiB, 48
2024/12/07 21:41:06.388, Quadro RTX 6000, 5500 MiB, 24576 MiB, 48
2024/12/07 21:41:16.428, Quadro RTX 6000, 5518 MiB, 24576 MiB, 47
2024/12/07 21:41:26.478, Quadro RTX 6000, 19583 MiB, 24576 MiB, 60
2024/12/07 21:41:36.528, Quadro RTX 6000, 19605 MiB, 24576 MiB, 68
2024/12/07 21:41:46.568, Quadro RTX 6000, 19602 MiB, 24576 MiB, 73
2024/12/07 21:41:56.648, Quadro RTX 6000, 19571 MiB, 24576 MiB, 76
2024/12/07 21:42:06.698, Quadro RTX 6000, 5577 MiB, 24576 MiB, 71
2024/12/07 21:42:16.768, Quadro RTX 6000, 5572 MiB, 24576 MiB, 65
2024/12/07 21:42:26.838, Quadro RTX 6000, 5566 MiB, 24576 MiB, 60
2024/12/07 21:42:36.899, Quadro RTX 6000, 5576 MiB, 24576 MiB, 57
2024/12/07 21:42:46.948, Quadro RTX 6000, 5564 MiB, 24576 MiB, 55
2024/12/07 21:42:56.999, Quadro RTX 6000, 5576 MiB, 24576 MiB, 54
2024/12/07 21:43:07.048, Quadro RTX 6000, 5550 MiB, 24576 MiB, 53
2024/12/07 21:43:17.138, Quadro RTX 6000, 5550 MiB, 24576 MiB, 51
2024/12/07 21:43:27.218, Quadro RTX 6000, 5579 MiB, 24576 MiB, 51
2024/12/07 21:43:37.269, Quadro RTX 6000, 5583 MiB, 24576 MiB, 50
2024/12/07 21:43:47.367, Quadro RTX 6000, 5581 MiB, 24576 MiB, 51
2024/12/07 21:43:57.418, Quadro RTX 6000, 5605 MiB, 24576 MiB, 50
2024/12/07 21:44:07.470, Quadro RTX 6000, 5574 MiB, 24576 MiB, 50
2024/12/07 21:44:17.528, Quadro RTX 6000, 19652 MiB, 24576 MiB, 64
2024/12/07 21:44:27.579, Quadro RTX 6000, 19652 MiB, 24576 MiB, 70
2024/12/07 21:44:37.628, Quadro RTX 6000, 19652 MiB, 24576 MiB, 75
2024/12/07 21:44:47.708, Quadro RTX 6000, 19693 MiB, 24576 MiB, 78
2024/12/07 21:44:57.760, Quadro RTX 6000, 5589 MiB, 24576 MiB, 69
2024/12/07 21:52:44.499, Quadro RTX 6000, 491 MiB, 24576 MiB, 41
2024/12/07 21:52:54.548, Quadro RTX 6000, 3009 MiB, 24576 MiB, 42
2024/12/07 21:53:04.589, Quadro RTX 6000, 2987 MiB, 24576 MiB, 43
2024/12/07 21:53:14.650, Quadro RTX 6000, 2983 MiB, 24576 MiB, 43
2024/12/07 21:53:24.708, Quadro RTX 6000, 2995 MiB, 24576 MiB, 42
2024/12/07 21:53:34.748, Quadro RTX 6000, 3005 MiB, 24576 MiB, 42
2024/12/07 21:53:44.800, Quadro RTX 6000, 2994 MiB, 24576 MiB, 41
2024/12/07 21:53:54.850, Quadro RTX 6000, 2977 MiB, 24576 MiB, 41
2024/12/07 21:54:04.949, Quadro RTX 6000, 2977 MiB, 24576 MiB, 41
2024/12/07 21:54:15.009, Quadro RTX 6000, 2977 MiB, 24576 MiB, 40
2024/12/07 21:54:25.069, Quadro RTX 6000, 2977 MiB, 24576 MiB, 40
2024/12/07 21:54:35.129, Quadro RTX 6000, 2977 MiB, 24576 MiB, 40
2024/12/07 21:54:45.180, Quadro RTX 6000, 2977 MiB, 24576 MiB, 39
2024/12/07 21:54:55.230, Quadro RTX 6000, 2977 MiB, 24576 MiB, 39
2024/12/07 21:55:05.278, Quadro RTX 6000, 2994 MiB, 24576 MiB, 39
2024/12/07 21:55:15.318, Quadro RTX 6000, 2981 MiB, 24576 MiB, 39
2024/12/07 21:55:25.387, Quadro RTX 6000, 19552 MiB, 24576 MiB, 50
2024/12/07 21:55:35.428, Quadro RTX 6000, 19547 MiB, 24576 MiB, 58
2024/12/07 21:55:45.468, Quadro RTX 6000, 19547 MiB, 24576 MiB, 65
2024/12/07 21:55:55.547, Quadro RTX 6000, 19547 MiB, 24576 MiB, 71
2024/12/07 21:56:05.598, Quadro RTX 6000, 5498 MiB, 24576 MiB, 64
2024/12/07 21:56:15.649, Quadro RTX 6000, 5480 MiB, 24576 MiB, 61
2024/12/07 21:56:25.728, Quadro RTX 6000, 5475 MiB, 24576 MiB, 57
2024/12/07 21:56:35.779, Quadro RTX 6000, 5475 MiB, 24576 MiB, 54
2024/12/07 21:56:45.829, Quadro RTX 6000, 5475 MiB, 24576 MiB, 52
2024/12/07 21:56:55.889, Quadro RTX 6000, 5475 MiB, 24576 MiB, 50
2024/12/07 21:57:05.939, Quadro RTX 6000, 5475 MiB, 24576 MiB, 49
2024/12/07 21:57:15.999, Quadro RTX 6000, 5480 MiB, 24576 MiB, 48
2024/12/07 21:57:26.049, Quadro RTX 6000, 5475 MiB, 24576 MiB, 47
2024/12/07 21:57:36.099, Quadro RTX 6000, 5475 MiB, 24576 MiB, 47
2024/12/07 21:57:46.148, Quadro RTX 6000, 5496 MiB, 24576 MiB, 46
2024/12/07 21:57:56.188, Quadro RTX 6000, 5497 MiB, 24576 MiB, 45
2024/12/07 21:58:06.227, Quadro RTX 6000, 5475 MiB, 24576 MiB, 45
2024/12/07 21:58:16.267, Quadro RTX 6000, 19567 MiB, 24576 MiB, 60
2024/12/07 21:58:26.308, Quadro RTX 6000, 19563 MiB, 24576 MiB, 67
2024/12/07 21:58:36.387, Quadro RTX 6000, 19562 MiB, 24576 MiB, 73
2024/12/07 21:58:46.457, Quadro RTX 6000, 19588 MiB, 24576 MiB, 67
2024/12/07 21:58:56.498, Quadro RTX 6000, 5583 MiB, 24576 MiB, 64
2024/12/07 21:59:06.549, Quadro RTX 6000, 5556 MiB, 24576 MiB, 61
2024/12/07 21:59:16.629, Quadro RTX 6000, 5579 MiB, 24576 MiB, 57
2024/12/07 21:59:26.729, Quadro RTX 6000, 5612 MiB, 24576 MiB, 55
2024/12/07 21:59:36.809, Quadro RTX 6000, 5558 MiB, 24576 MiB, 52
2024/12/07 21:59:46.870, Quadro RTX 6000, 5578 MiB, 24576 MiB, 51
2024/12/07 21:59:56.928, Quadro RTX 6000, 5554 MiB, 24576 MiB, 50
2024/12/07 22:00:06.979, Quadro RTX 6000, 5554 MiB, 24576 MiB, 49
2024/12/07 22:00:17.039, Quadro RTX 6000, 5554 MiB, 24576 MiB, 49
2024/12/07 22:00:27.099, Quadro RTX 6000, 5575 MiB, 24576 MiB, 48
2024/12/07 22:00:37.158, Quadro RTX 6000, 5558 MiB, 24576 MiB, 47
2024/12/07 22:00:47.200, Quadro RTX 6000, 5554 MiB, 24576 MiB, 47
2024/12/07 22:00:57.250, Quadro RTX 6000, 5554 MiB, 24576 MiB, 46
2024/12/07 22:01:07.338, Quadro RTX 6000, 5554 MiB, 24576 MiB, 45
2024/12/07 22:01:17.389, Quadro RTX 6000, 5554 MiB, 24576 MiB, 45
2024/12/07 22:01:27.448, Quadro RTX 6000, 5582 MiB, 24576 MiB, 45
2024/12/07 22:01:37.498, Quadro RTX 6000, 5573 MiB, 24576 MiB, 44
2024/12/07 22:01:47.548, Quadro RTX 6000, 19649 MiB, 24576 MiB, 52
2024/12/07 22:01:57.588, Quadro RTX 6000, 19645 MiB, 24576 MiB, 61
2024/12/07 22:02:07.677, Quadro RTX 6000, 19645 MiB, 24576 MiB, 67
